,ID,distB,distC,distG,distH,distO,distS,ddistB,ddistC,dddistG,ddistH,ddistO,ddistS,groupIC,GridX,GridY,viewIC,scalefactor,sdB,sdC,sdG,sdH,sdO,sdS,TotDist
STATE_9000,STATE_9000,0.07574975823299332,0.07574975823299332,0.08895569212477411,0.078055138495677,0.10717852044040004,0.1655386293339629,0,0,0,0,0,0,I,3,10,3,1,0,0,0,0,0,0,0.5912274968608007
STATE_14000,STATE_14000,0.0758053649106425,0.0758053649106425,0.0895741726042573,0.07931950823576514,0.12331366017578274,0.14962680533201667,0,0,0,0,0,0,I,4,10,3,1,0,0,0,0,0,0,0.5934448761691068
STATE_64000,STATE_64000,0.08195984224305748,0.08195984224305748,0.09888942899790713,0.08579201338268647,0.12608469598594893,0.1308426800353061,0,0,0,0,0,0,I,5,10,3,1,0,0,0,0,0,0,0.6055285028879636
STATE_62000,STATE_62000,0.08239045514439185,0.08239045514439185,0.09833933860789008,0.08809132213705877,0.12130203133460224,0.1333238353919851,0,0,0,0,0,0,I,6,10,3,1,0,0,0,0,0,0,0.60583743776032
STATE_8000,STATE_8000,0.08287709980974645,0.08287709980974645,0.10081300269526908,0.08863173025149856,0.12674015689144258,0.13408810849470532,0,0,0,0,0,0,I,7,10,3,1,0,0,0,0,0,0,0.6160271979524083
STATE_77000,STATE_77000,0.08174945075057256,0.08174945075057256,0.09447572927108423,0.08728846032904367,0.13225223322945384,0.13995675239422653,0,0,0,0,0,0,I,8,10,3,1,0,0,0,0,0,0,0.6174720767249534
STATE_97000,STATE_97000,0.08211214076366666,0.08211214076366666,0.103949320285232,0.08775149041456944,0.12869234276757494,0.13529519546133856,0,0,0,0,0,0,I,9,10,3,1,0,0,0,0,0,0,0.6199126304560483
STATE_12000,STATE_12000,0.08441622006458335,0.08441622006458335,0.10396427334315786,0.08825954126499987,0.1283479696942605,0.13575959092455944,0,0,0,0,0,0,I,10,10,3,1,0,0,0,0,0,0,0.6251638153561444
STATE_65000,STATE_65000,0.08909322024361206,0.08909322024361206,0.10584844991335698,0.09417253516144537,0.13870112200059684,0.14270990700785713,0,0,0,0,0,0,I,1,11,3,1,0,0,0,0,0,0,0.6596184545704804
STATE_95000,STATE_95000,0.06452174445318817,0.06452174445318817,0.07639213693388756,0.06613750950854749,0.10964845428282477,0.09902553022965097,0,0,0,0,0,0,II,1,1,3,1,0,0,0,0,0,0,0.4802471198612872
STATE_58000,STATE_58000,0.06806763056261106,0.06806763056261106,0.07910564354946889,0.07234914158143196,0.10564583639310547,0.09615059141792989,0,0,0,0,0,0,II,2,1,3,1,0,0,0,0,0,0,0.4893864740671583
STATE_15000,STATE_15000,0.0710219799663944,0.0710219799663944,0.08458117340388119,0.0757731457912834,0.09969586824897222,0.0988206664918589,0,0,0,0,0,0,II,3,1,3,1,0,0,0,0,0,0,0.5009148138687846
STATE_19000,STATE_19000,0.0682790479588848,0.0682790479588848,0.07860384752580067,0.07330763505405433,0.11314838061452023,0.10885957635256505,0,0,0,0,0,0,II,4,1,3,1,0,0,0,0,0,0,0.5104775354647099
STATE_42000,STATE_42000,0.06770618542518206,0.06770618542518206,0.08285833747815952,0.070772365530243,0.1199396213145362,0.10369707808918516,0,0,0,0,0,0,II,5,1,3,1,0,0,0,0,0,0,0.512679773262488
STATE_83000,STATE_83000,0.07447475829821075,0.07447475829821075,0.08261180880220897,0.07777206859033466,0.11670188533443407,0.10692797527018164,0,0,0,0,0,0,II,6,1,3,1,0,0,0,0,0,0,0.5329632545935808
STATE_67000,STATE_67000,0.07060382772272739,0.07060382772272739,0.08549663827919118,0.07197000170839357,0.125917363078192,0.1157137949538463,0,0,0,0,0,0,II,7,1,3,1,0,0,0,0,0,0,0.5403054534650779
STATE_100000,STATE_100000,0.07160589432504717,0.07160589432504717,0.08537384951233587,0.07685800437986581,0.12229326053304064,0.11401511968197317,0,0,0,0,0,0,II,8,1,3,1,0,0,0,0,0,0,0.5417520227573098
